avatar_id,avatar_name,gender,preview_image_url,preview_video_url
nik_expressive_20240910,Nik in Black Shirt,male,https://files2.heygen.ai/avatar/v3/Nik_Black_3_0_20240910/preview_target.webp,https://files2.heygen.ai/avatar/v3/Nik_Black_3_0_20240910/preview_target.mp4
nik_blue_expressive_20240910,Nik in Blue Sweater,male,https://files2.heygen.ai/avatar/v3/Nik_Blue_3_0_20240910/preview_target.webp,https://files2.heygen.ai/avatar/v3/Nik_Blue_3_0_20240910/preview_target.mp4
francis_expressive_20240910,Francis in Blazer (Upper Body),male,https://files2.heygen.ai/avatar/v3/Francis_in_Blazer_Front_3_0_20240910/preview_target.webp,https://files2.heygen.ai/avatar/v3/Francis_in_Blazer_Front_3_0_20240910/preview_target.mp4
chad_expressive_20240910,Chad in Blue Shirt (Upper Body),male,https://files2.heygen.ai/avatar/v3/Chad_in_Blue_Shirt_Front_3_0_20240910/preview_target.webp,https://files2.heygen.ai/avatar/v3/Chad_in_Blue_Shirt_Front_3_0_20240910/preview_target.mp4
candace_expressive_20240910,Candace in Pink Blazer (Upper Body),female,https://files2.heygen.ai/avatar/v3/Candace_Pink_Blazer_Front_3_0_20240910/preview_target.webp,https://files2.heygen.ai/avatar/v3/Candace_Pink_Blazer_Front_3_0_20240910/preview_target.mp4
Abigail_standing_office_front,Abigail Office Front,female,https://files2.heygen.ai/avatar/v3/463208b6cad140d2b263535826838e3a_39240/preview_target.webp,https://files2.heygen.ai/avatar/v3/463208b6cad140d2b263535826838e3a_39240/preview_video_target.mp4
Abigail_standing_office_side,Abigail Office Side,female,https://files2.heygen.ai/avatar/v3/9886d46db7f24260bb219c756ca0d759_39250/preview_target.webp,https://files2.heygen.ai/avatar/v3/9886d46db7f24260bb219c756ca0d759_39250/preview_video_target.mp4
Abigail_sitting_sofa_front,Abigail Sofa Front,female,https://files2.heygen.ai/avatar/v3/cfdab85e050048d2abc901bf882c89a7_39220/preview_target.webp,https://files2.heygen.ai/avatar/v3/cfdab85e050048d2abc901bf882c89a7_39220/preview_video_target.mp4
Abigail_sitting_sofa_side,Abigail Sofa Side,female,https://files2.heygen.ai/avatar/v3/e5e2683161894616b4cdf73d4f6ed6ea_39230/preview_target.webp,https://files2.heygen.ai/avatar/v3/e5e2683161894616b4cdf73d4f6ed6ea_39230/preview_video_target.mp4
Amanda_in_Blue_Shirt_Front,Amanda in Blue Shirt (Front),female,https://files2.heygen.ai/avatar/v3/74982c18df0f43fbbf304133b49b2170_35020/preview_target.webp,https://files2.heygen.ai/avatar/v3/74982c18df0f43fbbf304133b49b2170_35020/preview_video_target.mp4
Amanda_in_Blue_Shirt_Left,Amanda in Blue Shirt (Left),female,https://files2.heygen.ai/avatar/v3/df3a17e47a5c4cada4199c4bab4b4cff_35030/preview_target.webp,https://files2.heygen.ai/avatar/v3/df3a17e47a5c4cada4199c4bab4b4cff_35030/preview_video_target.mp4
Amanda_in_Blue_Shirt_Right,Amanda in Blue Shirt (Right),female,https://files2.heygen.ai/avatar/v3/912f2e54677a4f29b1dc877d20e3ce49_35040/preview_target.webp,https://files2.heygen.ai/avatar/v3/912f2e54677a4f29b1dc877d20e3ce49_35040/preview_video_target.mp4
Amelia_sitting_business_training_front,Amelia Business Training Front 2,female,https://files2.heygen.ai/avatar/v3/0233ba6aea01411ab07ddafbf97886f2_39260/preview_talk_2.webp,https://files2.heygen.ai/avatar/v3/0233ba6aea01411ab07ddafbf97886f2_39260/preview_video_talk_2.mp4
Amelia_standing_business_training_front,Amelia Business Training Front,female,https://files2.heygen.ai/avatar/v3/20cf0b98ae164abdb4a814dab98e69ca_39260/preview_talk_3.webp,https://files2.heygen.ai/avatar/v3/20cf0b98ae164abdb4a814dab98e69ca_39260/preview_video_talk_3.mp4
Amelia_sitting_business_training_side,Amelia Business Training Side 2,female,https://files2.heygen.ai/avatar/v3/af703fd4f280409c87ba7d5376ca8cb3_39270/preview_talk_3.webp,https://files2.heygen.ai/avatar/v3/af703fd4f280409c87ba7d5376ca8cb3_39270/preview_video_talk_3.mp4
Amelia_standing_business_training_side,Amelia Business Training Side,female,https://files2.heygen.ai/avatar/v3/16741476b7a549288bfefdf05ed8aa5d_39270/preview_talk_4.webp,https://files2.heygen.ai/avatar/v3/16741476b7a549288bfefdf05ed8aa5d_39270/preview_video_talk_4.mp4
Amelia_lying_lounge_front,Amelia Lounge Front 2,female,https://files2.heygen.ai/avatar/v3/d684929e24d545de9fd98ae031541265_39260/preview_talk_5.webp,https://files2.heygen.ai/avatar/v3/d684929e24d545de9fd98ae031541265_39260/preview_video_talk_5.mp4
Amelia_standing_lounge_front,Amelia Lounge Front,female,https://files2.heygen.ai/avatar/v3/5e0c02e028214c5d83a8fb6f93d8af8b_39260/preview_talk_4.webp,https://files2.heygen.ai/avatar/v3/5e0c02e028214c5d83a8fb6f93d8af8b_39260/preview_video_talk_4.mp4
Amelia_lying_lounge_side,Amelia Lounge Side 2,female,https://files2.heygen.ai/avatar/v3/373b306eb011498f86f1b02803baf9d9_39280/preview_target.webp,https://files2.heygen.ai/avatar/v3/373b306eb011498f86f1b02803baf9d9_39280/preview_video_target.mp4
Amelia_standing_lounge_side,Amelia Lounge Side,female,https://files2.heygen.ai/avatar/v3/a3a8835d393646f3af4154c470440004_39270/preview_target.webp,https://files2.heygen.ai/avatar/v3/a3a8835d393646f3af4154c470440004_39270/preview_video_target.mp4
Amelia_sitting_yoga_front,Amelia Yoga Front 2,female,https://files2.heygen.ai/avatar/v3/dea59fe8a4d34fb9a28bb24b30424fd3_39260/preview_talk_1.webp,https://files2.heygen.ai/avatar/v3/dea59fe8a4d34fb9a28bb24b30424fd3_39260/preview_video_talk_1.mp4
Amelia_standing_yoga_front,Amelia Yoga Front,female,https://files2.heygen.ai/avatar/v3/1f58c0f60faa4cb5bf6c465615e3fb18_39260/preview_target.webp,https://files2.heygen.ai/avatar/v3/1f58c0f60faa4cb5bf6c465615e3fb18_39260/preview_video_target.mp4
Amelia_sitting_yoga_side,Amelia Yoga Side 2,female,https://files2.heygen.ai/avatar/v3/2f6cd925494e4bafa15aec123bda28f0_39270/preview_talk_2.webp,https://files2.heygen.ai/avatar/v3/2f6cd925494e4bafa15aec123bda28f0_39270/preview_video_talk_2.mp4
Amelia_standing_yoga_side,Amelia Yoga Side,female,https://files2.heygen.ai/avatar/v3/b047b9088c09438a997a62ba0f06750e_39270/preview_talk_1.webp,https://files2.heygen.ai/avatar/v3/b047b9088c09438a997a62ba0f06750e_39270/preview_video_talk_1.mp4
