voice_id,language,gender,name,preview_audio,support_pause,emotion_support,support_interactive_avatar
1985984feded457b9d013b4f6551ac94,English,Male,Tarquin,https://static.heygen.ai/voice_preview/5R5EWwcXSiGMWub5LEB5VV.wav,False,True,True
26b2064088674c80b1e5fc5ab1a068eb,English,female,Melissa,https://resource.heygen.ai/text_to_speech/XL7wxYFJLdmMXz7jAU9QPT.mp3,False,True,True
26b2064088674c80b1e5fc5ab1a068ec,English,male,Rex,https://resource.heygen.ai/text_to_speech/bCo7SFtTvcJz6udLqHmUKf.mp3,False,True,True
42d598350e7a4d339a3875eb1b0169fd,English,Male,Paul,https://static.heygen.ai/voice_preview/gDkZsW4hQZXCqFmUNQPVm4.wav,False,True,True
45980606751346deaf6415a2ba6cdfde,English,female,Christine,https://static.heygen.ai/voice_preview/JgpYpGgEw7Wvaactogw8nM.wav,False,True,True
c8e176c17f814004885fd590e03ff99f,English,female,Elizabeth,https://static.heygen.ai/voice_preview/nFpfJnrcHH8kBy4pGkLKT6.wav,False,True,True
e23c82c61d934fa2b7fbda39a2247228,English,Male,Theo,https://static.heygen.ai/voice_preview/FZfjRRVjohs7CxXtyTkjoC.wav,False,True,True
f772a099cbb7421eb0176240c611fc43,English,female,Ceecee,https://static.heygen.ai/voice_preview/aYdKCH4Ra2m3Tb9d2Fw9tX.wav,False,True,True
001b5828d42b4f8b814ad7dbec3221e4,Bangla,Female,Aalia - Natural,https://resource.heygen.ai/text_to_speech/ZPmhEUtUitp6MhMRAsXMgb.mp3,False,False,False
001cc6d54eae4ca2b5fb16ca8e8eb9bb,Spanish,Male,Elias - Natural,https://static.heygen.ai/voice_preview/JmCb3rgMZnCjCAA9aacnGj.wav,False,False,True
00988b7d451d0722635ff7b2b9540a7b,Portuguese,Female,Brenda - Professional,https://static.heygen.ai/voice_preview/fec6396adb73461c9997b2c0d7759b7b.wav,False,False,True
009f4cb8d98a4febb45f8c82a5399b15,Latvian,Male,Tomass - Natural,https://resource.heygen.ai/text_to_speech/ErdPy8BqpgovvqAeKLWXak.mp3,False,False,False
00c8fd447ad7480ab1785825978a2215,Chinese,Female,Xiaoxuan - Serious,https://static.heygen.ai/voice_preview/909633f8d34e408a9aaa4e1b60586865.wav,False,False,True
00ed77fac8b84ffcb2ab52739b9dccd3,Latvian,Male,Nils - Affinity,https://resource.heygen.ai/text_to_speech/iDY3ejyxh3DrQxT7BNXUUf.wav,False,False,True
0130939032d74be594eadc8cc9d39415,Portuguese,Female,Fernanda - Natural,https://static.heygen.ai/voice_preview/6a5985f0ffd94106b8ecaa3a6c539cea.wav,False,False,True
0214ac51f93e420f8711d568dcfbc50e,English,Female,Gail_car_openai,https://resource.heygen.ai/text_to_speech/B7mSeiBWP6WRAsadXMPjWm.mp3,False,False,False
02a820805da74e6c9efc2d3c09ae9f43,English,male,Lucas5.5,https://resource.heygen.ai/text_to_speech/67PmpY5s8BrLgYofM7UiTi.mp3,False,False,False
02bcf8702a424226a520b6229f318004,Portuguese,Male,Cristiano - Friendly,https://static.heygen.ai/voice_preview/70dc80de5385461a841d55d4d729fe81.wav,False,False,False
02bec3b4cb514722a84e4e18d596fddf,Arabic,Female,Fatima - Professional,https://static.heygen.ai/voice_preview/930a245487fe42158c810ac76b8ddbab.wav,False,False,True
04dea6aea06f496089394450583427c9,English,Female,LEA_Inside_sitting_with_mic_15s,https://resource.heygen.ai/text_to_speech/hqbYonxRNAnqVxR9h4oWC9.mp3,False,False,False
04e95f5bcb8b4620a2c4ef45b8a4481a,Ukrainian,Female,Polina - Professional,https://static.heygen.ai/voice_preview/ntekV94yFpvv4RgBVPqW7c.wav,False,False,True
05113f7c98bb424d86b6ef07266002eb,Arabic,Female,Amal - Natural,https://static.heygen.ai/voice_preview/01fd522c73ea44589985a8bc321047bd.wav,False,False,True
06daa574b9824885a26eeb5916cbae36,Arabic,Female,Salma - Friendly,https://static.heygen.ai/voice_preview/b6e67b75ee0648a2844a58fc5dc6aa02.wav,False,False,True
071d6bea6a7f455b82b6364dab9104a2,German,Male,Jan - Natural,https://static.heygen.ai/voice_preview/fa3728bed81a4d11b8ccef10506af5f4.wav,False,False,True
081f165a0d88432b991830e8deeac2e3,Georgian,Female,Eka - Natural,https://resource.heygen.ai/text_to_speech/ahmQermSGhBoVpabxtns2V.wav,False,False,True
0822c6351a75446f8f21ed4c3430ff9e,Malay,Female,Norazila - Natural,https://static.heygen.ai/voice_preview/eppfCMA366E7uomDSwo5GS.wav,False,False,False
08284d3fc63a424fbe80cc1864ed2540,Spanish,Male,Dario - Natural,https://static.heygen.ai/voice_preview/3e9rdESHjEWSTRUA2j6bjr.wav,False,False,True
088b81175b7b4dcabc7179a94467dd06,Estonian,Female,Anu - Natural,https://resource.heygen.ai/text_to_speech/y39LKWqoLomPNTxAiSTEQA.wav,False,False,True
09465ad8e28d48f9affe795679e4be0e,Filipino,Male,Nathan,https://resource.heygen.ai/text_to_speech/A2Jmu3pT3n74MJhFA2fJ7K.mp3,False,False,False
0ac81e725f4948dfa9638ceca216bcfa,English,male,Daran_outside_walking,https://resource.heygen.ai/text_to_speech/KbaxAZ77k3t5dWNBhj9NnD.mp3,False,False,False
0add44a212634cee8eddc30067f0249f,Sinhala,female,Thilini - Natural,https://resource.heygen.ai/text_to_speech/ceuWHWCv9oYT8ZBym2rWYm.wav,False,False,True
0b27aae7db574ebca04c89bf6bba2641,Catalan,Female,Alba - Natural,https://resource.heygen.ai/text_to_speech/5GqVGKMPhiK7YTHfHkoJYL.wav,False,False,True
0bcc1565751048b8a272aa3aa0d236f1,English,male,BRANDON_CAR_with_mic,https://resource.heygen.ai/text_to_speech/ebnUy9H7bWwaUYUyWQWmPj.mp3,False,False,False
0bde88bedf264a52befce6ae6d6c70be,Czech,Male,Honza - Professional,https://static.heygen.ai/voice_preview/093367236bf3412babde3d9fe0667497.wav,False,False,True
0bfddc0290474a849a6626031d312ebf,Lithuanian,Male,Leonas - Natural,https://resource.heygen.ai/text_to_speech/HhpQ6nFH2Bt3HHXRUSKkBi.wav,False,False,True
0c094361c73f4e34815cc24f32636950,English,male,0c094361c73f4e34815cc24f32636950,https://resource.heygen.ai/text_to_speech/Ag4qxaQzaNcKmuwfQChuc3.mp3,False,False,False
0d2ae98609a54f09a2295c3245c9f20e,English,Female,Sophie_in_car_without_mic,https://resource.heygen.ai/text_to_speech/8Taod65FyMGp2i957pzymR.mp3,False,False,False
0dad967237504db3a709950ed05cacb6,English,male,Lucas_outside_in_cafe_without_mic,https://resource.heygen.ai/text_to_speech/eUn95cCnhVryVAQHtkK4yb.mp3,False,False,False
0e051caf8e0947a18870ee24bbbfce36,French,Female,Ariane - Natural,https://static.heygen.ai/voice_preview/3f7b2cd2e2dc468fb2160728462d17cd.wav,False,False,True
0f04c50500bf417396ba2e846d7bd3d7,English,male,tim_sitting,https://resource.heygen.ai/text_to_speech/qxY3Uq75GBVbiWbKypuyxX.mp3,False,False,False
0f059f9e54284391b48300f916cc6a01,French,Female,Celeste - Professional,https://static.heygen.ai/voice_preview/ebde256ffc2d4e14a0542bf4bd8719fa.wav,False,False,True
0fd2f1a46fb14bd0a8018822f111ad92,Dutch,Male,Arnaud - Professional,https://static.heygen.ai/voice_preview/S3W9CEXxdgVYhDhDSVUpTL.wav,False,False,True
107ec6a82944431ebb6dd0652ecb42d0,Japanese,Male,Keita - Newscaster,https://static.heygen.ai/voice_preview/da7b395e99ea41a0acda700727a8cc6d.wav,False,False,True
1119d921713542f1a7e0f89035c6453a,Kiswahili,female,Rehema - Natural,https://resource.heygen.ai/text_to_speech/5EpTfj4wpiMyjRNb6uViXa.wav,False,False,True
11815f082eea4e4ba3b3952ad05c0097,Arabic,Male,Jamal - Newscaster,https://static.heygen.ai/voice_preview/a20f914b0d6c448b81df16589f82fe2d.wav,False,False,True
118e0e91a87a4e60a1353a438b3601ac,Chinese,Female,HiuMaan - Natural,https://static.heygen.ai/voice_preview/532bed404357485a9c4e6aaae734e750.wav,False,False,True
11a14f71bed84ba7a62ae43153aa48c2,German,Female,Tanja - Serious,https://static.heygen.ai/voice_preview/edc9fa2428164c278cdb44afe572b111.wav,False,False,True
1278e97c07734d60b0c2fee4d6cccbfe,German,Male,Gunter - Calm,https://static.heygen.ai/voice_preview/2e13f77976d940a5a5ae36265547082f.wav,False,False,True
130c008c0e8e4454abcb086769b84638,Dutch,male,Ernie -  Friendly,https://static.heygen.ai/voice_preview/6NChw5zoAFiRe8nAk2VH6Z.wav,False,False,False
131a436c47064f708210df6628ef8f32,English,Female,Amber - Friendly,https://static.heygen.ai/voice_preview/5HHGT48B6g6aSg2buYcBvw.wav,False,False,True
143784cc55cb44e080dc86a16ed8fb14,Hebrew,female,Ruth - Calm,https://resource.heygen.ai/text_to_speech/zZyvLURSdQsrPSxrBYVpuh.mp3,False,False,False
15ea92317dfe4abc858b08be62bd8e93,Portuguese,Male,Ricardo - Calm,https://static.heygen.ai/voice_preview/47d1469c5c434e6ab153fe69904687ac.wav,False,False,False
164126a02bc04b1685ea69030fbcfc1e,Malay,Female,Intan - Natural,https://static.heygen.ai/voice_preview/hjEaP5TaoEfCxWaKu6b9j9.wav,False,False,False
164a2f29f0104dc896aa2e8c2584cf5f,Indonesian,Female,Citra - Warm,https://static.heygen.ai/voice_preview/PVXz2vRF3sDQcqjpP7FzPS.wav,False,False,False
16ac5c3dc8b14834b52347286c9b350d,Thai,Female,Somsak - Gently,https://resource.heygen.ai/text_to_speech/SwHZhj9NrJq4HdhTC96bN7.mp3,False,False,False
16bbafee7735447296185046b04a05d2,Kannada,Male,Gagan - Natural,https://resource.heygen.ai/text_to_speech/jFsh8wfLhqLM4BXQFdD8Rm.wav,False,False,True
1753e5984bca4125a3e727d5d5e07ee2,English,Female,Lea_outside_walking,https://resource.heygen.ai/text_to_speech/FFHPhwFgT5Er4rGpXM4BJf.mp3,False,False,False
178f3d2599b04697b65b6cf03c377a1e,Tamil,Male,Valluvar - Natural,https://static.heygen.ai/voice_preview/EeRJjYausrCjTyCnTTn3hb.wav,False,False,True
1803df59c37443789d2e4f71c82859a0,English,Female,Lea_inside,https://resource.heygen.ai/text_to_speech/msSd5uEFY5Px5qxyhHTyjV.mp3,False,False,False
18d006d24dd84e438ae7ec886045c281,Vietnamese,Female,Nhung - Gently,https://resource.heygen.ai/text_to_speech/ew6DRo8i2QE6BnXEhUWHQ3.mp3,False,False,False
1956ee743a61677602bbef9cfc48ebb9,Portuguese,Male,Fabio - Newscaster,https://static.heygen.ai/voice_preview/d098ea6b02fe40d0b859f72583892ac1.wav,False,False,True
19e93c4e7713495894a42b80fcff866c,Romanian,Female,Alina - Natural,https://static.heygen.ai/voice_preview/ddF5y3GpfzhfmpcKeUN4uZ.wav,False,False,True
1a32e06dde934e69ba2a98a71675dc16,Spanish,Male,Alonso - Professional,https://static.heygen.ai/voice_preview/224558e689bd4d8ba9b7de1205527448.wav,False,False,True
1a966c7d97c349e19c6d9e74f2f2ea47,Dutch,Female,Dena - Natural,https://static.heygen.ai/voice_preview/nNSpZoZraHC54P9FUJmkAC.wav,False,False,True
1ae3be1e24894ccabdb4d8139399f721,English,Male,Tony - Professional,https://static.heygen.ai/voice_preview/LQUcrBcVHDMCSP5cX93CVd.wav,False,False,True
1b41a20629554233bea22e0118e86f0d,Croatian,Female,Gabrijela - Calm,https://static.heygen.ai/voice_preview/8DUrw3S6YHTrYBKWnzusqN.wav,False,False,True
1bd001e7e50f421d891986aad5158bc8,English,Female,Sara - Cheerful,https://static.heygen.ai/voice_preview/func8CFnfVLKF2VzGDCDCR.wav,False,False,True
1cf54d7f9039462aae36b33728b09e3d,Swedish,Female,Astrid - Friendly,https://static.heygen.ai/voice_preview/HpV9ZhWJLBAzD4ZtWBmDo7.wav,False,False,False
1d8e477dd21b40c1ab6726e50329a765,Norwegian,Female,Iselin - Natural,https://resource.heygen.ai/text_to_speech/bGGdyDrt7qKgfmWFEMNUnG.wav,False,False,True
1e51f4123ee24c958781c8d66178ad08,Arabic,Male,Omar - Calm,https://static.heygen.ai/voice_preview/723dda62843b49bf9376b3a2ea609cee.wav,False,False,True
1ef3312fdf2347f8a7f3e9bcbf26144f,Urdu,Female,Gul - Natural,https://resource.heygen.ai/text_to_speech/kUMWFP7i8gvVkCSUKJ8Nt8.wav,False,False,True
1fe966a9dfa14b16ab4d146fabe868b5,English,Female,Ana - Cheerful,https://static.heygen.ai/voice_preview/T4MYTkhp7F5SA9HRXHzL9A.wav,False,False,True
2020d72b69454fe2a094ee8ce987f048,English,Female,KRISI_in_car_without_mic,https://resource.heygen.ai/text_to_speech/EhHZ53wFcCGYrpDa3ENnkd.mp3,False,False,False
20eab658d6c240c58554553593197ed9,Finnish,Female,Selma - Natural,https://static.heygen.ai/voice_preview/YSQJikCifzGLik8xegVDxD.wav,False,False,True
20fbb2cf29f3450c904a3779758ccaf6,Arabic,Male,Saleh - Professional,https://static.heygen.ai/voice_preview/47db78d3eff14adeaefe718b7c1a0b2f.wav,False,False,True
2134698646ea49e290d444596d3806cd,German,Male,Jonas - Friendly,https://static.heygen.ai/voice_preview/424d178de7394689ad37c943e794f01c.wav,False,False,True
21d9632a2fc842308ad9b5c5b5014e3a,German,Female,Amala - Warm,https://static.heygen.ai/voice_preview/4c72e33446264a0ab956989639651049.wav,False,False,True
2259b11ddd664c4f84e98f59819f4cc5,Bangla,Male,Pradeep - Newscaster,https://resource.heygen.ai/text_to_speech/zkPBaz8WCiuxkwgMuWqZJH.wav,False,False,True
239530900b9c409ebb6d25ec73266094,Hebrew,female,Sarah - Natural,https://resource.heygen.ai/text_to_speech/cDMukFUjCm4AdznRU8HXdC.mp3,False,False,False
255f8e3f207d4cf58632f0ee48ea75ef,French,Female,Yvette - Warm,https://static.heygen.ai/voice_preview/a300600fb4e240c081d76b7acadf5884.wav,False,False,True
25ef3e4d1a4846a58a5f4c3b1a7f70a8,Chinese,Female,Xiaoyan - Newscaster,https://static.heygen.ai/voice_preview/bbb68c7a2d794b27b9936b985658600c.wav,False,False,True
2673f7664f5d4d369bc28dad9c99bb85,English,male,tim_cafe_outside,https://resource.heygen.ai/text_to_speech/HBf9WDaar3z6FQ3HymY4ki.mp3,False,False,False
